"Time_ka","alphaflux","a_U238","a_U234","a_Th230","r234_238","r230_234","Dr238_alpha","Dr238_beta","Dr238_gamma","Dr238","Dr234_alpha","Dr234_beta","Dr234_gamma","Dr234","Dr230_alpha","Dr230_beta","Dr230_gamma","Dr230","Dr_U238chain_alpha","Dr_U238chain_beta","Dr_U238chain_gamma","Dr_U238chain_total","Dr_U235","Dr_Th232","Dr.cosmic","Dr_total","De"
25,14219.6929325425,8.27562292,21.7719380165434,4.56280718481263,2.63085186783056,0.209572853888596,0.01960349248,0.036716,0.0005695,0.05688899248,0.0616930250569144,0.00123386952601253,8.81335375723239e-05,0.0630150281204992,0.101015871914364,0.0319168460027458,0.0199295583547238,0.152862276271834,0.182312389451279,0.0698667155287583,0.0205871918922961,0.272766296872333,0.01367513952,0.0019040976624,0.051,0.339345534054733,6.69688091008064
26,14482.6694181131,8.27562292,21.7339248664577,4.71996745653524,2.6262584794593,0.217170505812304,0.01960349248,0.036716,0.0005695,0.05688899248,0.0615853108874662,0.00123171522686641,8.79796590618865e-05,0.0629050057733945,0.104495239162492,0.0330161824390994,0.0206160074373774,0.158127429038969,0.185684042529958,0.0709638976659658,0.0212734870964393,0.277921427292363,0.01367513952,0.0019040976624,0.051,0.344500664474763,7.03880641045552
27,14742.5892368374,8.27562292,21.6960187826023,4.87534384817758,2.62167802863138,0.224711450383102,0.01960349248,0.036716,0.0005695,0.05688899248,0.0614779001011904,0.00122956699542812,8.78262139591512e-05,0.0627952933105777,0.107935113135011,0.0341030406304815,0.0212946648381305,0.163332818603623,0.189016505716201,0.0720486076259096,0.0219519910520897,0.2830171043942,0.01367513952,0.0019040976624,0.051,0.3495963415766,7.38585729590417
28,14999.4821717908,8.27562292,21.6582194634188,5.02895364630721,2.61711047890746,0.232196079405383,0.01960349248,0.036716,0.0005695,0.05688899248,0.0613707918435907,0.0012274248146076,8.76732010434e-05,0.0626858898592417,0.111335876538799,0.0351775414964692,0.021965606061742,0.16847902409701,0.19231016086239,0.0731209663110768,0.0226227792627854,0.288053906436252,0.01367513952,0.0019040976624,0.051,0.354633143618652,7.73797440239923
29,15253.3777285815,8.27562292,21.6205266081985,5.18081397669642,2.61255579395086,0.23962478206853,0.01960349248,0.036716,0.0005695,0.05688899248,0.0612639852625778,0.00122528866736295,8.75206190973537e-05,0.0625767945490381,0.114697908520894,0.0362398048318763,0.022628905910645,0.173566619263415,0.195565386263471,0.0741810934992393,0.0232859265297423,0.293032406292453,0.01367513952,0.0019040976624,0.051,0.359611643474853,8.09509914147809
30,15504.3051379027,8.27562292,21.5829399170795,5.33094180580006,2.60801393752719,0.246997944963998,0.01960349248,0.036716,0.0005695,0.05688899248,0.061157479508462,0.00122315853670025,8.73684669071609e-05,0.0624680065120694,0.118021584701205,0.0372899493170907,0.023284638491401,0.178596172509697,0.198782556689667,0.0752291078537909,0.0239415069583081,0.297953171501766,0.01367513952,0.0019040976624,0.051,0.364532408684166,8.45717349488316
31,15752.2933580595,8.27562292,21.5454590910443,5.47935394221977,2.60348487350416,0.254315952102285,0.01960349248,0.036716,0.0005695,0.05688899248,0.0610512737339471,0.00122103440567345,8.72167432623894e-05,0.0623595248828829,0.121307277204936,0.0383280925283166,0.0239328772210959,0.183568246954349,0.201962043418883,0.0762651269339901,0.0245895939643583,0.302816764317232,0.01367513952,0.0019040976624,0.051,0.369396001499632,8.82414000925143
32,15997.3710774744,8.27562292,21.5080838319181,5.62606703815493,2.59896856585125,0.261579184929799,0.01960349248,0.036716,0.0005695,0.05688899248,0.0609453670941233,0.00121891625738423,8.70654469560167e-05,0.0622513487984636,0.124555354694705,0.0393543509477245,0.0245736948336775,0.188483400476107,0.205104214268829,0.0772892672051088,0.0252302602806335,0.307623741754571,0.01367513952,0.0019040976624,0.051,0.374202978936971,9.19594179085281
33,16239.5667171691,8.27562292,21.4708138423654,5.77109759084024,2.59446497863939,0.268788022345614,0.01960349248,0.036716,0.0005695,0.05688899248,0.0608397587464605,0.00121680407498187,8.69145767844195e-05,0.0621434773982268,0.12776618240237,0.0403688399735062,0.0252071633862345,0.193342185762111,0.208209433628831,0.0783016440484881,0.0258635779630189,0.312374655640338,0.01367513952,0.0019040976624,0.051,0.378953892822738,9.57252250037697
34,16478.9084332232,8.27562292,21.4336488258884,5.91446194397013,2.58997407604072,0.275942840718115,0.01960349248,0.036716,0.0005695,0.05688899248,0.0607344478508013,0.0012146978416631,8.67641315473641e-05,0.0620359098240118,0.130940122160565,0.0413716739298391,0.0258333542652178,0.198145150355622,0.211278062491366,0.0793023717715022,0.0264896183967652,0.317070052659634,0.01367513952,0.0019040976624,0.051,0.383649289842034,9.95382634776804
